"X","text","textClean","bigrams"
0,"Ik ben nog niet getrouwd ","getrouwd",NA
1,"Ik zou wel nog open staan voor een tweede kind, maar mijn partner niet. De bevalling was ook traumatisch voor ons beiden, wat ons ook doet twijfelen. ","open staan kind partner bevalling traumatisch twijfelen","open_staan"
2,"Onzekerheden voor het kind zijn toekomst. ","onzekerheden kind toekomst",NA
3,"Ik ben erg gevoelig voor prikkels en drukte om me heen dus het lijkt me niet prettig om een kind op te moeten voeden ","gevoelig prikkels drukte heen prettig kind voeden",NA
4,"Binnen 3 jaar vind ik misschien nog te vroeg, maar ik sluit niet uit dat het mogelijk wel gebeurt ","3 jaar vind sluit mogelijk gebeurt","3_jaar jaar_vind"
5,"Nee helaas kan ik vanwege mijn gezondheid geen kinderen meer krijgen en ben ik daarom ook geholpen. ","helaas gezondheid kinderen krijgen geholpen",NA
6,"Ik wil geen kinderen meer ","kinderen",NA
7,"Je weet het nooit zeker wat er gebeurt ","weet zeker gebeurt",NA
8,"leeftijd ","leeftijd","NA_NA"
9,"Je weet nooit of het lukt .  Wij hebben nog geen plan om nu aan kinderen te beginnen maar zeker binnen 3 j","weet lukt plan kinderen beginnen zeker 3 j","3_j"
10,"Op dit moment heb ik een zoon van 9 maanden oud. Hiervoor heb ik een pauze in mijn opleiding genomen van ruim een jaar. Ik wil zeker nog meer kinderen maar ik wil eerst mijn opleiding afmaken (ik begin in september) en wat werkervaring opdoen. Daarom wil ik pas over 4-5 jaar mijn volgende. Maar omdat ik wel zeker nog tenminste 1 kind erbij zou willen hebben sta ik open om eerder zwanger worden als de situatie anders wordt. ","moment zoon 9 maanden oud hiervoor pauze opleiding genomen ruim jaar zeker kinderen opleiding afmaken begin september werkervaring opdoen 45 jaar volgende zeker tenminste 1 kind erbij sta open zwanger situatie","9_maanden maanden_oud oud_hiervoor opleiding_genomen opleiding_afmaken werkervaring_opdoen 45_jaar tenminste_1 1_kind kind_erbij"
11,"Allereerst heb k wel een partner; maar we zijn niet getrouwd of samenwonend (nog), dus dan is er nog geen stabiele basis voor een kind  Daarnaast ben k ernstig ziek, dus nu niet in staat om een zwangerschap door te maken ","allereerst k partner getrouwd samenwonend stabiele basis kind daarnaast k ernstig ziek staat zwangerschap","stabiele_basis kind_daarnaast k_ernstig ernstig_ziek"
12,"Ik heb nog nooit kinderen gewild, en inmiddels zit ik ook al in de overgang, maar ik wil ze nog steeds niet. Kinderen zijn leuk, maar ik vind mijn leven indelen zonder kinderen leuker, en kinderen kun je alleen maar 24/7 hebben. ","kinderen gewild zit overgang kinderen leuk vind leven indelen kinderen leuker kinderen 247","kinderen_gewild leven_indelen kinderen_leuker"
13,"Ik zou in de aankomende 3 jaar geen kinderen willen krijg","aankomende 3 jaar kinderen krijg","aankomende_3 3_jaar"
14,"Ik weet niet of ik onvoorwaardelijk zou kunnen liefhebben. Ik weet niet of ik een kind kan opvoeden. Ik ben bang voor postnatale depressie. Ik ben bang voor de pijn van een bevalling. ","weet onvoorwaardelijk liefhebben weet kind opvoeden bang postnatale depressie bang pijn bevalling","postnatale_depressie"
15,"Ik weet niet of ik geschikt ben als ouder. Je geeft veel vrijheid op voor je kind, ik weet niet of ik dit wil. Doe graag mijn eigen ding en wil nog carriÃ¨re maken. Voor een vrouw is dit moeilijker als je ook kinderen hebt / wil (vind ik). ","weet geschikt ouder geeft vrijheid kind weet graag ding carriãre vrouw moeilijker kinderen vind",NA
16,"Wat me er zeker van maakt dat ik geen kinderen wil, is mijn ervaring met kinderen in het algemeen. Verder, ik heb het gevoel dat ik niet genoeg tijd voor mezelf heb gehad en ik heb geen tijd om aan een kind te geven. Ook de levenslange verantwoordelijkheid met alle onzekerheden draagt hieraan bij. ","zeker kinderen ervaring kinderen algemeen gevoel genoeg tijd tijd kind geven levenslange verantwoordelijkheid onzekerheden draagt hieraan","genoeg_tijd levenslange_verantwoordelijkheid onzekerheden_draagt draagt_hieraan"
17,"Ik heb graag tijd voor mezelf, ben niet zorgzaam  en wil mezelf op nummer 1 houden. ","graag tijd zorgzaam nummer 1 houden","graag_tijd nummer_1 1_houden"
18,"Het lijkt me leuk om een gezin te vormen en om kinderen op te voeden. Het lijkt me een nuttige, leuke en goede invulling van mijn leven. Tegelijkertijd wil ik graag nog met mijn vriend op reis en is dat qua timing wat onhandig (ik ben 'al' 30, we weten niet wanneer we kunnen ivm corona), dus weet ik niet wanneer we aan kinderen gaan beginnen. Daarnaast heb ik af en toe nog wel twijfels; ik hecht veel waarde aan mijn vrijheid en rust en daar geef je met kinderen een groot deel van op. ","leuk gezin vormen kinderen voeden nuttige leuke goede invulling leven tegelijkertijd graag vriend reis qua timing onhandig 30 weten ivm corona weet kinderen gaan beginnen daarnaast twijfels hecht waarde vrijheid rust geef kinderen groot deel","nuttige_leuke goede_invulling leven_tegelijkertijd qua_timing ivm_corona kinderen_gaan gaan_beginnen beginnen_daarnaast groot_deel"
19,"na veel onderzoek bij zowel mijn partner als ikzelf zijn er geen grote afwijkingen gevonden ,maar toch nog steeds geen baby ","onderzoek zowel partner grote afwijkingen gevonden baby","grote_afwijkingen afwijkingen_gevonden"
20,"Ik wil sowieso kinderen, hopelijk lukt dit op een natuurlijke manier ","sowieso kinderen hopelijk lukt natuurlijke manier","sowieso_kinderen kinderen_hopelijk hopelijk_lukt natuurlijke_manier"
21,"Omdat ik nog steeds an het studeeren ben en mij nog te jong vind om kinderen te kregen ","an studeeren jong vind kinderen kregen","jong_vind"
22,"Ik heb op dit moment geen relatie. Als dit in de toekomst wel gebeurt, dan zou ik wel graag kinderen krijgen. ","moment relatie toekomst gebeurt graag kinderen krijgen","graag_kinderen kinderen_krijgen"
23,"Ik wil heel graag kinderen. Dit wil ik al van jongs af aan. Echter heb ik op dit moment geen partner, wat het vanzelfsprekend lastiger maakt om deze wens te verwezenlijken. Als ik nu een stabiele relatie zou hebben zou ik in de komende jaren graag aan kinderen beginnen. Daarnaast heb ik endometriose, wat een zwangerschap moeilijker kan maken naarmate ik ouder wordt.  Ik heb dus geen twijfel over het wel of niet kinderen krijgen, want die wil ik heel graag, maar de manier waarop en dat ik nu geen relatie heb maakt me wel onzeker. Of het uiteindelijk wel lukt. ","graag kinderen jongs moment partner vanzelfsprekend lastiger wens verwezenlijken stabiele relatie komende jaren graag kinderen beginnen daarnaast endometriose zwangerschap moeilijker naarmate ouder twijfel kinderen krijgen graag manier waarop relatie onzeker uiteindelijk lukt","graag_kinderen vanzelfsprekend_lastiger stabiele_relatie komende_jaren jaren_graag kinderen_beginnen beginnen_daarnaast zwangerschap_moeilijker kinderen_krijgen manier_waarop"
24,"Ik ben al te oud. Geen wens om nog een kind te krijgen ","oud wens kind krijgen",NA
25,"Ik heb een hele grote kinderwens. Ik ben ook gelukkig met mijn partner op dit moment en zou graag een kind van ons samen willen. ","hele grote kinderwens gelukkig partner moment graag kind","hele_grote grote_kinderwens"
26,"Mijn leeftijd. Ik vind mijzelf te oud om nog een kindje te krijgen. ","leeftijd vind oud kindje krijgen",NA
27,"Ik ben een maand geleden bevallen van een mooie zoon. Helaas moest ik met 26 weken al stoppen met werken en zijn de laatste weken fysiek heel zwaar geweest. De afgelopen maand vond ik fysiek en mentaal heel erg zwaar. Het komende jaar heb ik nodig om weer te herstellen. Ik weet niet of ik het nog een keer kan en wil. ","maand bevallen mooie zoon helaas 26 weken stoppen werken laatste weken fysiek zwaar maand vond fysiek mentaal zwaar komende jaar nodig herstellen weet keer","mooie_zoon zoon_helaas 26_weken laatste_weken weken_fysiek maand_vond komende_jaar"
28,"Het feit of je dit alleen moet doen of niet i.a.w. of ik een man vind met wie ik graag kinderen zou kunnen krijgen. ","feit i a w man vind graag kinderen krijgen","i_a a_w man_vind graag_kinderen"
29,"Wij zijn blij met twee kinderen en hebben geen wens voor een groter gezin. ","blij kinderen wens groter gezin","groter_gezin"
30,"Ik heb geen baarmoeder m","baarmoeder m","baarmoeder_m"
31,"Het kan gebeuren, maar is niet de bedoeling ","gebeuren bedoeling",NA
32,"Ik ben ten eerste lesbienne, het hebben van biologische kinderen is hierbij een uitdaging. Bovendien zou in mijn huidige relatie het dragen van het kind op mij vallen, omdat mijn partner niet in staat is dit te doen. Ik vind zwangerschappen en wat er bij mis kan gaan, en de effecten op het lichaam ontzettend eng en zou de voorkeur geven aan het niet dragen van een kind.   Afgezien van medische redenen vermoed ik financieel niet in staat te zijn om een kind te ondersteunen in zijn/haar wensen. Mijn beroepsveld is vrij onzeker, en ik wil niet volledig afhankelijk hoeven te zijn voor financiele zaken die een kind betreft.   Ook nog afgezien hiervan is mijn beeld van de wereld en samenleving niet goed genoeg om er een kind of neer te willen zetten. Ik denk dat een eventueel kind geen goede toekomst zou hebben met betrekking tot het milieu, de politiek en de economie. ","ten lesbienne biologische kinderen hierbij uitdaging huidige relatie dragen kind vallen partner staat vind zwangerschappen mis gaan effecten lichaam ontzettend eng voorkeur geven dragen kind afgezien medische redenen vermoed financieel staat kind ondersteunen zijnhaar wensen beroepsveld onzeker volledig afhankelijk hoeven financiele zaken kind betreft afgezien hiervan beeld wereld samenleving goed genoeg kind neer zetten denk eventueel kind goede toekomst betrekking milieu politiek economie","biologische_kinderen huidige_relatie vind_zwangerschappen lichaam_ontzettend ontzettend_eng voorkeur_geven kind_afgezien medische_redenen redenen_vermoed zijnhaar_wensen volledig_afhankelijk afhankelijk_hoeven financiele_zaken kind_betreft afgezien_hiervan goed_genoeg eventueel_kind goede_toekomst"
33,"leeftijd, of ik niet te oud ben tegen die tijd ","leeftijd oud tijd",NA
34,"Ik zou graag voor die tijd ook getrouwd zijn en mijn partner moet ook kinderen willen ","graag tijd getrouwd partner kinderen",NA
35,"Ik ben van plan om kinderen te krijgen. Als alles goed gaat. Deze tijd met de corona is niks zeker. Ik vind het vooral eng hoe kinderen nu de dumpe worden van de overheid. Ik zie dat er veel gebeurd met kinderen. Ik vraag mij af of kinderen nog veilig zijn in deze maatschappij. Ik merk om mij heen dat ouders angstig zijn nu. Heb ik nog wel zeggenschap over hun kind. Dit maakt mij onzeker. Kinderen krijgen in deze tijd is eng. Kan ik mij kind alles geven als de wereld economie uitelkaar valt. Ik heb geen zekerheid meer. Dit maakt mij onzeker. Ik denk nu wel dubbel na of ik kinderen wil. ","plan kinderen krijgen goed gaat tijd corona zeker vind eng kinderen dumpe overheid zie gebeurd kinderen vraag kinderen veilig maatschappij merk heen ouders angstig zeggenschap kind onzeker kinderen krijgen tijd eng kind geven wereld economie uitelkaar valt zekerheid onzeker denk dubbel kinderen","goed_gaat ouders_angstig onzeker_kinderen kinderen_krijgen wereld_economie economie_uitelkaar uitelkaar_valt"
36,"het staat niet in de planning ","staat planning",NA
37,"Ik ben 39 en heb 2 gezonde kinderen. Ik ben wegens mijn leeftijd en gezien ik er al 2 heb niet van plan ooit nog zw","39 2 gezonde kinderen leeftijd gezien 2 plan zw","2_gezonde gezonde_kinderen"
38,"De omstandigheden zijn er niet naar. Ik wil een kind een goede omstandigheden kunnen bieden om in op te groeien. Mijn woonsituatie en financiÃ«le omstandigheden zijn er niet naar.   Ik weet niet of ik een kind in de huidige maatschappij met bijbehorende problemen wil zetten. Onder andere het huidige onvermogen om een oplossing te zoeken voor bijvoorbeeld klimaatproblemen en juist omgaan met een milieu spelen een belangrijke rol.   Ik ben er nog niet over uit hoe groot mijn kinderwens is. ","omstandigheden kind goede omstandigheden bieden groeien woonsituatie financiãle omstandigheden weet kind huidige maatschappij bijbehorende problemen zetten huidige onvermogen oplossing zoeken bijvoorbeeld klimaatproblemen omgaan milieu spelen belangrijke rol groot kinderwens","goede_omstandigheden financiãle_omstandigheden huidige_maatschappij bijbehorende_problemen huidige_onvermogen bijvoorbeeld_klimaatproblemen milieu_spelen belangrijke_rol"
39,"heb 4 kinderen en dat vinden wij gen","4 kinderen vinden gen","4_kinderen"
40,"Ik heb 2 gezonde kinderen op de wereld gebracht . En ben inmiddels oma. Mijn eigen kinderen zijn 19 en 17 en ben gewoon niet van plan om er nog 1 bij te krijgen. Deze zijn inmiddels groot en studeren of hebben zelf al een kindje (dochter19j) . Nu staan ze zo goed als op eigen benen en vind mezelf gewoon te oud worden en heb een pracht van kleinkind waar ik elke dag van geniet ","2 gezonde kinderen wereld gebracht oma kinderen 19 17 plan 1 krijgen groot studeren kindje dochter19j staan goed benen vind oud pracht kleinkind dag geniet","2_gezonde gezonde_kinderen wereld_gebracht kindje_dochter19j"
41,"Het moet lukken en kind moet gezond zijn ","lukken kind gezond",NA
42,"Wij zijn al een tijd bezig om tweede kind krijgen. Vorig jaar miskraam gehad. Misschien dit jaar... Ik ben 38 dus niet zo veel tijd meer. ","tijd bezig kind krijgen vorig jaar miskraam jaar 38 tijd","tijd_bezig kind_krijgen krijgen_vorig vorig_jaar jaar_miskraam"
43,"ik ben 42 en een dochter van 15. Ik heb baarmoederhalskanker gehad en daarom maar 1 kind helaas ","42 dochter 15 baarmoederhalskanker 1 kind helaas","1_kind kind_helaas"
44,"Ik ben gek op mijn 2 kinderen (zoons) en kan er erg van genieten. Dit geluk zou ik graag verder willen uitbreiden. Mijn wens is dan ook nog een kindje en heel misschien nog wel een 4e. Wat mij betreft is ons gezin nog niet compleet en is er nog een kindje welkom.  Mijn man vindt op dit moment 2 kinderen genoeg en wat hem betreft is ons gezin compleet op dit moment.  Wij zijn op dit moment heel gelukkig met ons gezin en de tijd zal het leren of er toch nog een kindje zal volgen. ","gek 2 kinderen zoons genieten geluk graag uitbreiden wens kindje 4e betreft gezin compleet kindje welkom man vindt moment 2 kinderen genoeg betreft gezin compleet moment moment gelukkig gezin tijd leren kindje volgen","2_kinderen kinderen_zoons kindje_welkom man_vindt moment_2 2_kinderen kinderen_genoeg gezin_compleet"
45,"Mijn leeftijd. Maar mijn vriend heeft geen kinderen. Dat speelt een factor ","leeftijd vriend kinderen speelt factor",NA
46,"Ik kan er niet meer betalen mijn vermogen is te klein om er goed voor te zorgen. ","betalen vermogen klein goed zorgen",NA
47,"ik weet niet of ik wel een kinderwens heb ","weet kinderwens",NA
48,"Het is leuk om een kind te hebben. Een beetje leven in de brouwerij. Daarnaast lijkt een broertje of zusje mij wel leuk voor onze dochter. We wachten hier nog even mee omdat het allemaal best wel druk is en je vanalles moet regelen qua oppas en werken.  Qua kosten valt het allemaal wel mee. Het enige wat duur is zijn de luiers en nieuw speelgoed. ","leuk kind leven brouwerij daarnaast broertje zusje leuk dochter wachten mee allemaal best druk vanalles regelen qua oppas werken qua kosten valt allemaal mee duur luiers nieuw speelgoed","brouwerij_daarnaast allemaal_best regelen_qua qua_oppas werken_qua qua_kosten kosten_valt nieuw_speelgoed"
49,"Omdat mijn partner en ik samen al 8 kinderen hebben en de oudste al 21 is. De keuze samen geen kind te nemen is erg moeilijk, omdat samen een kind krijgen iets is wat mijn partner en ik graag samen hadden gedeeld ","partner 8 kinderen oudste 21 keuze kind moeilijk kind krijgen partner graag gedeeld","8_kinderen kind_krijgen"
50,"Nog niet aan toe. Heb momenteel ook geen partner. ","momenteel partner",NA
51,"Ik weet niet zeker of ik een geschikte moeder zou zijn. Ik ben nu nog teveel op mezelf gefocust, dus het zal nu niet iets zijn waar ik aan denk. Misschien als ik meer volwassen ben in mijn doen en laten. Ook is het misschien niet mogelijk voor mij een kind te krijgen. ook heb ik op dit moment geen partner, en weet natuurlijk niet of ik die nog krijg ","weet zeker geschikte moeder teveel gefocust denk volwassen laten mogelijk kind krijgen moment partner weet natuurlijk krijg","geschikte_moeder weet_natuurlijk"
52,"ik heb geen behoefte aan het krijgen van kinderen. Deze keuze heb ik een aantal jaar geleden gemaakt en voelde als een grote opluchting. Dat gevoel wordt alleen maar sterker. ","behoefte krijgen kinderen keuze aantal jaar gemaakt voelde grote opluchting gevoel sterker","aantal_jaar grote_opluchting"
53,"wij zijn blij met onze 2 kinderen en willen niet meer kinderen ","blij 2 kinderen kinderen","2_kinderen"
54,"Mijn vriend woont en werkt in het buitenland. We zullen eerst moeten samenwonen ergens en een goede carriÃ¨re hebben opgebouwd. Ook zal ik medisch goed moeten voorbereiden om zwanger te raken ivm mijn lichte vorm van [erfelijke ziekte]. ","vriend woont werkt buitenland samenwonen goede carriãre opgebouwd medisch goed voorbereiden zwanger raken ivm lichte vorm erfelijke ziekte","vriend_woont goede_carriãre medisch_goed raken_ivm lichte_vorm erfelijke_ziekte"
55,"Ik heb nog niet zo lang een relatie, dus het moet wel goed gaan en lukken ","lang relatie goed gaan lukken","goed_gaan"
